Dialogue_History,Strategy_History,Speaker_Turn,Gold_Standard,Next_Strategy
"You know, you have to be quite strong-willed about, I suppose, in a way. </s> Yeah. </s> So you say, ""Okay, well, you don't have a cigarette unless you have a cup of coffee. [laughs] </s> Hmm. </s> Of course, that's a double-edged sword a bit, because then I found I was drinking more coffee, you know.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,But they go together so well. And sugar in the coffee?,1
"So you say, ""Okay, well, you don't have a cigarette unless you have a cup of coffee. [laughs] </s> Hmm. </s> Of course, that's a double-edged sword a bit, because then I found I was drinking more coffee, you know. </s> But they go together so well. And sugar in the coffee? </s> Oh, yeah, yeah. I have two sugars. A couple of sugar in coffee. Yeah, yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,Hmm.,5
"Of course, that's a double-edged sword a bit, because then I found I was drinking more coffee, you know. </s> But they go together so well. And sugar in the coffee? </s> Oh, yeah, yeah. I have two sugars. A couple of sugar in coffee. Yeah, yeah. </s> Hmm. </s> So we cut that down as I say.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,Hmm.,5
"Oh, yeah, yeah. I have two sugars. A couple of sugar in coffee. Yeah, yeah. </s> Hmm. </s> So we cut that down as I say. </s> Hmm. </s> But the problem goes that coffee, we're up to 8 or so, 10 cups of coffee a day now.","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"You're drinking more coffee. So what I've heard you say so far is, if I can just start right back from the beginning and you used to come in and sais, ""I went to the doctor."" You went for-- it sounds like you went for just a checkup.",0
"So we cut that down as I say. </s> Hmm. </s> But the problem goes that coffee, we're up to 8 or so, 10 cups of coffee a day now. </s> You're drinking more coffee. So what I've heard you say so far is, if I can just start right back from the beginning and you used to come in and sais, ""I went to the doctor."" You went for-- it sounds like you went for just a checkup. </s> No, you know, there's a friend of mine, one of the guys down the rugby club, he said- he said, ""I'm going for my annual, you know-","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,MIT.,0
"But the problem goes that coffee, we're up to 8 or so, 10 cups of coffee a day now. </s> You're drinking more coffee. So what I've heard you say so far is, if I can just start right back from the beginning and you used to come in and sais, ""I went to the doctor."" You went for-- it sounds like you went for just a checkup. </s> No, you know, there's a friend of mine, one of the guys down the rugby club, he said- he said, ""I'm going for my annual, you know- </s> MIT. </s> -warranty of fitness, sort of thing, you know. And I thought, now that's an idea, not been to one of those.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Got to check out, why not?",0
"No, you know, there's a friend of mine, one of the guys down the rugby club, he said- he said, ""I'm going for my annual, you know- </s> MIT. </s> -warranty of fitness, sort of thing, you know. And I thought, now that's an idea, not been to one of those. </s> Got to check out, why not? </s> So I'm 55, and you read in the papers, you know, it's that at 55 you will-- you know, heart disease is more prevalent","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,Hmm.,5
"-warranty of fitness, sort of thing, you know. And I thought, now that's an idea, not been to one of those. </s> Got to check out, why not? </s> So I'm 55, and you read in the papers, you know, it's that at 55 you will-- you know, heart disease is more prevalent </s> Hmm. </s> -and all these sorts of things that you get around this middle-age time. So I thought, ""Well, I'll go and have one."" And frankly, when I went along, I was very confident. I thought, you know, the doctor is going to saying, ""Hmm, I wish I was as healthy as you,"" sort of thing.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"So I'm 55, and you read in the papers, you know, it's that at 55 you will-- you know, heart disease is more prevalent </s> Hmm. </s> -and all these sorts of things that you get around this middle-age time. So I thought, ""Well, I'll go and have one."" And frankly, when I went along, I was very confident. I thought, you know, the doctor is going to saying, ""Hmm, I wish I was as healthy as you,"" sort of thing. </s> Yeah. </s> Um, but unfortunately, uh, he-he came up with this. And it's the only thing I think he really came up with. I think-","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,So everything else looked pretty good?,0
"-and all these sorts of things that you get around this middle-age time. So I thought, ""Well, I'll go and have one."" And frankly, when I went along, I was very confident. I thought, you know, the doctor is going to saying, ""Hmm, I wish I was as healthy as you,"" sort of thing. </s> Yeah. </s> Um, but unfortunately, uh, he-he came up with this. And it's the only thing I think he really came up with. I think- </s> So everything else looked pretty good? </s> My cholesterol is quite good, not too bad.","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,"Cholesterol good, your weight is good.",0
"Um, but unfortunately, uh, he-he came up with this. And it's the only thing I think he really came up with. I think- </s> So everything else looked pretty good? </s> My cholesterol is quite good, not too bad. </s> Cholesterol good, your weight is good. </s> Yeah-yeah. Not too bad.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Um, you are smoking, but you've managed to reduce that.",0
"My cholesterol is quite good, not too bad. </s> Cholesterol good, your weight is good. </s> Yeah-yeah. Not too bad. </s> Um, you are smoking, but you've managed to reduce that. </s> Well, yeah, I've cut it down, yeah. I mean, that's been three years, mind.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"And anything else, you know, you go ticking down the list. The tire is good, oil good.",1
"Yeah-yeah. Not too bad. </s> Um, you are smoking, but you've managed to reduce that. </s> Well, yeah, I've cut it down, yeah. I mean, that's been three years, mind. </s> And anything else, you know, you go ticking down the list. The tire is good, oil good. </s> Absolutely.","[-1, 0, -1, 1, -1]",seeker supporter seeker supporter seeker,So we're looking good.,0
"Well, yeah, I've cut it down, yeah. I mean, that's been three years, mind. </s> And anything else, you know, you go ticking down the list. The tire is good, oil good. </s> Absolutely. </s> So we're looking good. </s> And then we come to this-","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,"And ah, hang on.",0
"Absolutely. </s> So we're looking good. </s> And then we come to this- </s> And ah, hang on. </s> -too much sugar in the tank, or something. I don't know.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Yeah, there's something wrong with the, uh, with this bit.",0
"And then we come to this- </s> And ah, hang on. </s> -too much sugar in the tank, or something. I don't know. </s> Yeah, there's something wrong with the, uh, with this bit. </s> So, yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,And it doesn't quite fit with how you see your own lifestyle.,1
"-too much sugar in the tank, or something. I don't know. </s> Yeah, there's something wrong with the, uh, with this bit. </s> So, yeah. </s> And it doesn't quite fit with how you see your own lifestyle. </s> No.","[-1, 0, -1, 1, -1]",seeker supporter seeker supporter seeker,"Because you've-- it sounds like what you've been doing, you've made some conscious effort to be aware of some of those things you might think are important.",0
"So, yeah. </s> And it doesn't quite fit with how you see your own lifestyle. </s> No. </s> Because you've-- it sounds like what you've been doing, you've made some conscious effort to be aware of some of those things you might think are important. </s> I mean, yeah. I mean, you know, the thing is, you see, the thing is, and I mean, and probably you've-- I think you've heard this before, but people, they turn around, oh, uh, you know, doom and gloom prophets, you shouldn't drink.","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,Mm.,5
"No. </s> Because you've-- it sounds like what you've been doing, you've made some conscious effort to be aware of some of those things you might think are important. </s> I mean, yeah. I mean, you know, the thing is, you see, the thing is, and I mean, and probably you've-- I think you've heard this before, but people, they turn around, oh, uh, you know, doom and gloom prophets, you shouldn't drink. </s> Mm. </s> You shouldn't smoke.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"I mean, yeah. I mean, you know, the thing is, you see, the thing is, and I mean, and probably you've-- I think you've heard this before, but people, they turn around, oh, uh, you know, doom and gloom prophets, you shouldn't drink. </s> Mm. </s> You shouldn't smoke. </s> Yeah. </s> And then I think to myself, ""Well, maybe I shouldn't socialize."" And then after that, ""Well, maybe I shouldn't be alive.""","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,"So like a domino effect, and they'll all be just sitting-",1
"You shouldn't smoke. </s> Yeah. </s> And then I think to myself, ""Well, maybe I shouldn't socialize."" And then after that, ""Well, maybe I shouldn't be alive."" </s> So like a domino effect, and they'll all be just sitting- </s> You know. I mean, what-what-what's going on here? This is- this is- this is so many people's lives.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,Mm-hm.,5
"And then I think to myself, ""Well, maybe I shouldn't socialize."" And then after that, ""Well, maybe I shouldn't be alive."" </s> So like a domino effect, and they'll all be just sitting- </s> You know. I mean, what-what-what's going on here? This is- this is- this is so many people's lives. </s> Mm-hm. </s> And um, I suppose, you know, if it came down to it, then, and somebody said, ""Well, you can solve this problem by taking a pill once a day, um, you know, it will keep it down, and there will be no problems,"" Then I-I could go with that. But what I don't want to do, um, the doctor was saying, or insinuating, that I'd have to change my lifestyle.","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,A bit broad kind of like you've gotta change everything.,1
"You know. I mean, what-what-what's going on here? This is- this is- this is so many people's lives. </s> Mm-hm. </s> And um, I suppose, you know, if it came down to it, then, and somebody said, ""Well, you can solve this problem by taking a pill once a day, um, you know, it will keep it down, and there will be no problems,"" Then I-I could go with that. But what I don't want to do, um, the doctor was saying, or insinuating, that I'd have to change my lifestyle. </s> A bit broad kind of like you've gotta change everything. </s> Yeah. It was um, and I-I said, well, no. I'm sorry. [coughs] I'm not going to change my lifestyle. I've got to where I am. I'm reasonably happy. Okay, I wish I wasn't separated. Okay, I wish my kids were-were still around, um, you know. One of them is off now in, um, in-- back in Europe playing rugby in France.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Yeah. And your thought was, yeah, right, I hear that, but actually, I don't want to make all these big changes in my life.",0
"And um, I suppose, you know, if it came down to it, then, and somebody said, ""Well, you can solve this problem by taking a pill once a day, um, you know, it will keep it down, and there will be no problems,"" Then I-I could go with that. But what I don't want to do, um, the doctor was saying, or insinuating, that I'd have to change my lifestyle. </s> A bit broad kind of like you've gotta change everything. </s> Yeah. It was um, and I-I said, well, no. I'm sorry. [coughs] I'm not going to change my lifestyle. I've got to where I am. I'm reasonably happy. Okay, I wish I wasn't separated. Okay, I wish my kids were-were still around, um, you know. One of them is off now in, um, in-- back in Europe playing rugby in France. </s> Yeah. And your thought was, yeah, right, I hear that, but actually, I don't want to make all these big changes in my life. </s> No, I don't want to, because I don't feel that I need to.","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,Feel like you need to. Yeah.,0
"Yeah. It was um, and I-I said, well, no. I'm sorry. [coughs] I'm not going to change my lifestyle. I've got to where I am. I'm reasonably happy. Okay, I wish I wasn't separated. Okay, I wish my kids were-were still around, um, you know. One of them is off now in, um, in-- back in Europe playing rugby in France. </s> Yeah. And your thought was, yeah, right, I hear that, but actually, I don't want to make all these big changes in my life. </s> No, I don't want to, because I don't feel that I need to. </s> Feel like you need to. Yeah. </s> I mean, it's you know, why?","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,Mm.,5
"No, I don't want to, because I don't feel that I need to. </s> Feel like you need to. Yeah. </s> I mean, it's you know, why? </s> Mm. </s> Um, I can't argue with a medical professional, Mark, because I know nothing, you know.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,"The test, is the test, and experience, yeah.",4
"I mean, it's you know, why? </s> Mm. </s> Um, I can't argue with a medical professional, Mark, because I know nothing, you know. </s> The test, is the test, and experience, yeah. </s> So, I mean, what-what-what-what suggestions would you have? I mean, what-what sort of-","[-1, 5, -1, 4, -1]",seeker supporter seeker supporter seeker,"I don't know. I think it's up to you where we start, and that's the question I've got in my mind. You've mentioned a couple of things that you've already made some effort, or been conscious of. You've mentioned the diet, you've mentioned your smoking, those are two quite important aspects that we often talk about here in how people work.",0
"Um, I can't argue with a medical professional, Mark, because I know nothing, you know. </s> The test, is the test, and experience, yeah. </s> So, I mean, what-what-what-what suggestions would you have? I mean, what-what sort of- </s> I don't know. I think it's up to you where we start, and that's the question I've got in my mind. You've mentioned a couple of things that you've already made some effort, or been conscious of. You've mentioned the diet, you've mentioned your smoking, those are two quite important aspects that we often talk about here in how people work. </s> Is smoking related to diabetes then?","[-1, 4, -1, 0, -1]",seeker supporter seeker supporter seeker,"It can have an impact, yes. So smoking, um, affects your blood system, so it hardens the arteries, um, and over time, it can have a significant impact on the healing of wounds. So people with Type II diabetes, often, if they get a cut, or a bruise, or something, it takes a long time to heal. Smoking reduces the amount of oxygen in your system, so that can further, you know, limit the time it takes your body to heal.",4
"So, I mean, what-what-what-what suggestions would you have? I mean, what-what sort of- </s> I don't know. I think it's up to you where we start, and that's the question I've got in my mind. You've mentioned a couple of things that you've already made some effort, or been conscious of. You've mentioned the diet, you've mentioned your smoking, those are two quite important aspects that we often talk about here in how people work. </s> Is smoking related to diabetes then? </s> It can have an impact, yes. So smoking, um, affects your blood system, so it hardens the arteries, um, and over time, it can have a significant impact on the healing of wounds. So people with Type II diabetes, often, if they get a cut, or a bruise, or something, it takes a long time to heal. Smoking reduces the amount of oxygen in your system, so that can further, you know, limit the time it takes your body to heal. </s> Oh.","[-1, 0, -1, 4, -1]",seeker supporter seeker supporter seeker,So we know that smoking and Type II diabetes together-,4
"Is smoking related to diabetes then? </s> It can have an impact, yes. So smoking, um, affects your blood system, so it hardens the arteries, um, and over time, it can have a significant impact on the healing of wounds. So people with Type II diabetes, often, if they get a cut, or a bruise, or something, it takes a long time to heal. Smoking reduces the amount of oxygen in your system, so that can further, you know, limit the time it takes your body to heal. </s> Oh. </s> So we know that smoking and Type II diabetes together- </s> Don't help.","[-1, 4, -1, 4, -1]",seeker supporter seeker supporter seeker,-isn't a good combination.,4
"Oh. </s> So we know that smoking and Type II diabetes together- </s> Don't help. </s> -isn't a good combination. </s> Is it okay if you have one without the other? I'm sorry, it's a silly question. [laughs]","[-1, 4, -1, 4, -1]",seeker supporter seeker supporter seeker,"Well, the question is, I suppose, that I have for you is, where would you think, for you, would be a good place to start? If you were gonna make any changes, even small changes at the beginning, rather than just thinking, oh, I got to change everything, which it sounds like you're not prepared to, you know, do a whole lifestyle change, and I don't think that's what we're talking about here. Where would you feel most comfortable to start if you were gonna make any changes at all?",6
"Don't help. </s> -isn't a good combination. </s> Is it okay if you have one without the other? I'm sorry, it's a silly question. [laughs] </s> Well, the question is, I suppose, that I have for you is, where would you think, for you, would be a good place to start? If you were gonna make any changes, even small changes at the beginning, rather than just thinking, oh, I got to change everything, which it sounds like you're not prepared to, you know, do a whole lifestyle change, and I don't think that's what we're talking about here. Where would you feel most comfortable to start if you were gonna make any changes at all? </s> Where would I start? Well, I-- What if about if I cut down on sugar in the coffee? If we could have long blacks, no milk, and no sugar.","[-1, 4, -1, 6, -1]",seeker supporter seeker supporter seeker,"Yeah. Hmm, that might be a start.",6
"Is it okay if you have one without the other? I'm sorry, it's a silly question. [laughs] </s> Well, the question is, I suppose, that I have for you is, where would you think, for you, would be a good place to start? If you were gonna make any changes, even small changes at the beginning, rather than just thinking, oh, I got to change everything, which it sounds like you're not prepared to, you know, do a whole lifestyle change, and I don't think that's what we're talking about here. Where would you feel most comfortable to start if you were gonna make any changes at all? </s> Where would I start? Well, I-- What if about if I cut down on sugar in the coffee? If we could have long blacks, no milk, and no sugar. </s> Yeah. Hmm, that might be a start. </s> I think I could- I think I could probably handle that.","[-1, 6, -1, 6, -1]",seeker supporter seeker supporter seeker,"Hm. What we also find is that people make these little changes, small changes, and that starts to kind of well, it makes them-",4
"Where would I start? Well, I-- What if about if I cut down on sugar in the coffee? If we could have long blacks, no milk, and no sugar. </s> Yeah. Hmm, that might be a start. </s> I think I could- I think I could probably handle that. </s> Hm. What we also find is that people make these little changes, small changes, and that starts to kind of well, it makes them- </s> Something of a rollover effect.","[-1, 6, -1, 4, -1]",seeker supporter seeker supporter seeker,"-rollover, the domino effect starts to happen, and they start looking at other aspects.",0
"I think I could- I think I could probably handle that. </s> Hm. What we also find is that people make these little changes, small changes, and that starts to kind of well, it makes them- </s> Something of a rollover effect. </s> -rollover, the domino effect starts to happen, and they start looking at other aspects. </s> Domino effect, yeah.","[-1, 4, -1, 0, -1]",seeker supporter seeker supporter seeker,"So rather than thinking, ""oh, my God, I have to change all these things. I've gotta stop smoking, I've gotta exercise more, I've gotta, you know, start eating more fruit and vegetables,"" you might start with these small changes, and then-",0
"Something of a rollover effect. </s> -rollover, the domino effect starts to happen, and they start looking at other aspects. </s> Domino effect, yeah. </s> So rather than thinking, ""oh, my God, I have to change all these things. I've gotta stop smoking, I've gotta exercise more, I've gotta, you know, start eating more fruit and vegetables,"" you might start with these small changes, and then- </s> I mean, how much exercise should I do a week?","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Um, I-I'm reluctant to give a prescription for that because I think it's really up to you. And I think it depends on how things go, as to how much you need to do.",4
"Domino effect, yeah. </s> So rather than thinking, ""oh, my God, I have to change all these things. I've gotta stop smoking, I've gotta exercise more, I've gotta, you know, start eating more fruit and vegetables,"" you might start with these small changes, and then- </s> I mean, how much exercise should I do a week? </s> Um, I-I'm reluctant to give a prescription for that because I think it's really up to you. And I think it depends on how things go, as to how much you need to do. </s> Right.","[-1, 0, -1, 4, -1]",seeker supporter seeker supporter seeker,"You mentioned earlier on, the doctors talking about you monitoring your blood sugar.",0
"I mean, how much exercise should I do a week? </s> Um, I-I'm reluctant to give a prescription for that because I think it's really up to you. And I think it depends on how things go, as to how much you need to do. </s> Right. </s> You mentioned earlier on, the doctors talking about you monitoring your blood sugar. </s> Yeah.","[-1, 4, -1, 0, -1]",seeker supporter seeker supporter seeker,"So on how-- It depends on how-how that goes. Let's say, if you started doing that and you do some more exercise, you start to have longer blacks, rather than short blacks with lots of sugar. And you get down the sugar and you find your blood sugar starts to come down, then we're heading in the right direction.",0
"Right. </s> You mentioned earlier on, the doctors talking about you monitoring your blood sugar. </s> Yeah. </s> So on how-- It depends on how-how that goes. Let's say, if you started doing that and you do some more exercise, you start to have longer blacks, rather than short blacks with lots of sugar. And you get down the sugar and you find your blood sugar starts to come down, then we're heading in the right direction. </s> Okay, so—","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"So it's really, I suppose, up to how things go for you, and you get that feedback. And if that's going in the right direction, you carry on doing and do some more of that.",0
"Yeah. </s> So on how-- It depends on how-how that goes. Let's say, if you started doing that and you do some more exercise, you start to have longer blacks, rather than short blacks with lots of sugar. And you get down the sugar and you find your blood sugar starts to come down, then we're heading in the right direction. </s> Okay, so— </s> So it's really, I suppose, up to how things go for you, and you get that feedback. And if that's going in the right direction, you carry on doing and do some more of that. </s> So, a-are we saying then that-that, really all I need to do, for this moment, is I can forget about everything, but cut out the sugar, uh, in the coffee and the milk-- I don't know, but you might as well, you know, milk without sugar is silly. But, um, if we do that, is that where we start?","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,I think where we start is where you feel comfortable starting.,5
"Okay, so— </s> So it's really, I suppose, up to how things go for you, and you get that feedback. And if that's going in the right direction, you carry on doing and do some more of that. </s> So, a-are we saying then that-that, really all I need to do, for this moment, is I can forget about everything, but cut out the sugar, uh, in the coffee and the milk-- I don't know, but you might as well, you know, milk without sugar is silly. But, um, if we do that, is that where we start? </s> I think where we start is where you feel comfortable starting. </s> Well, I mean that's something that's not difficult to do.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,Apples for breakfast.,6
"So, a-are we saying then that-that, really all I need to do, for this moment, is I can forget about everything, but cut out the sugar, uh, in the coffee and the milk-- I don't know, but you might as well, you know, milk without sugar is silly. But, um, if we do that, is that where we start? </s> I think where we start is where you feel comfortable starting. </s> Well, I mean that's something that's not difficult to do. </s> Apples for breakfast. </s> You start off at breakfast and get yourself an apple, a bit-a bit of apple and-and so on. Um—","[-1, 5, -1, 6, -1]",seeker supporter seeker supporter seeker,"So what I'm hearing you're kind of saying is, that there's-- You're now starting to think of some very useful little starting points.",0
"Well, I mean that's something that's not difficult to do. </s> Apples for breakfast. </s> You start off at breakfast and get yourself an apple, a bit-a bit of apple and-and so on. Um— </s> So what I'm hearing you're kind of saying is, that there's-- You're now starting to think of some very useful little starting points. </s> Maybe.","[-1, 6, -1, 0, -1]",seeker supporter seeker supporter seeker,"Not huge changes, but some little things you could do.",0
"You start off at breakfast and get yourself an apple, a bit-a bit of apple and-and so on. Um— </s> So what I'm hearing you're kind of saying is, that there's-- You're now starting to think of some very useful little starting points. </s> Maybe. </s> Not huge changes, but some little things you could do. </s> Yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"And it's kind of dawning on you there may be some possibilities here for making some changes. Let me ask you this. Um, let's say you put some of these things in place and you start to make some of these small changes.",0
"Maybe. </s> Not huge changes, but some little things you could do. </s> Yeah. </s> And it's kind of dawning on you there may be some possibilities here for making some changes. Let me ask you this. Um, let's say you put some of these things in place and you start to make some of these small changes. </s> Yeah.","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,"Um, where do you see that taking you in the next set of three, four, five years? You know, where do you want to be in three to four years' time? What would be your ideal picture?",3
"Yeah. </s> And it's kind of dawning on you there may be some possibilities here for making some changes. Let me ask you this. Um, let's say you put some of these things in place and you start to make some of these small changes. </s> Yeah. </s> Um, where do you see that taking you in the next set of three, four, five years? You know, where do you want to be in three to four years' time? What would be your ideal picture? </s> Well, you know, and this is difficult because I don't feel unhealthy now.","[-1, 0, -1, 3, -1]",seeker supporter seeker supporter seeker,No.,5
"Yeah. </s> Um, where do you see that taking you in the next set of three, four, five years? You know, where do you want to be in three to four years' time? What would be your ideal picture? </s> Well, you know, and this is difficult because I don't feel unhealthy now. </s> No. </s> So, I suppose it would be fun to-- Maybe I should join a club or two, that's what I'm thinking because I'll be with mates.","[-1, 3, -1, 5, -1]",seeker supporter seeker supporter seeker,Yeah? You like the social aspect?,0
"Well, you know, and this is difficult because I don't feel unhealthy now. </s> No. </s> So, I suppose it would be fun to-- Maybe I should join a club or two, that's what I'm thinking because I'll be with mates. </s> Yeah? You like the social aspect? </s> I love the social aspect of it, and, um, there's-there's-- I know there's a bar in this club as well. I-- Don't-don't misunderstand me, I don't drink-","[-1, 5, -1, 0, -1]",seeker supporter seeker supporter seeker,"No, no, I get that. I get that.",5
"So, I suppose it would be fun to-- Maybe I should join a club or two, that's what I'm thinking because I'll be with mates. </s> Yeah? You like the social aspect? </s> I love the social aspect of it, and, um, there's-there's-- I know there's a bar in this club as well. I-- Don't-don't misunderstand me, I don't drink- </s> No, no, I get that. I get that. </s> -till-- You know, I'm not an alcoholic or anything like that, I—","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,"So part of that whole keeping fit and exercise stuff is actually the social side of it, isn't it?",1
"I love the social aspect of it, and, um, there's-there's-- I know there's a bar in this club as well. I-- Don't-don't misunderstand me, I don't drink- </s> No, no, I get that. I get that. </s> -till-- You know, I'm not an alcoholic or anything like that, I— </s> So part of that whole keeping fit and exercise stuff is actually the social side of it, isn't it? </s> So yeah, so to get that balance, and maybe that's what I'm actually missing in life, and maybe this is, um-- I mean yes I do get up in the morning sometimes, and I suppose I do feel a bit—","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"-till-- You know, I'm not an alcoholic or anything like that, I— </s> So part of that whole keeping fit and exercise stuff is actually the social side of it, isn't it? </s> So yeah, so to get that balance, and maybe that's what I'm actually missing in life, and maybe this is, um-- I mean yes I do get up in the morning sometimes, and I suppose I do feel a bit— </s> Yeah. </s> You know? Even after a decent night's sleep, you know?","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,Haven't quite that-,5
"So yeah, so to get that balance, and maybe that's what I'm actually missing in life, and maybe this is, um-- I mean yes I do get up in the morning sometimes, and I suppose I do feel a bit— </s> Yeah. </s> You know? Even after a decent night's sleep, you know? </s> Haven't quite that- </s> And you need-- I'm getting this cup of coffee and maybe I'm—","[-1, 5, -1, 5, -1]",seeker supporter seeker supporter seeker,And the coffee helps a little bit because it perks you up?,1
"You know? Even after a decent night's sleep, you know? </s> Haven't quite that- </s> And you need-- I'm getting this cup of coffee and maybe I'm— </s> And the coffee helps a little bit because it perks you up? </s> And that gets me going. Yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,And the sugar in it helps too.,0
"And you need-- I'm getting this cup of coffee and maybe I'm— </s> And the coffee helps a little bit because it perks you up? </s> And that gets me going. Yeah. </s> And the sugar in it helps too. </s> Yeah, the sugar gives me the boost, I suppose. I-it's fantastic.","[-1, 1, -1, 0, -1]",seeker supporter seeker supporter seeker,"So what I'm hearing is that your life, your work, your routines are-- Sometimes you're driving or you've got to keep awake, get up in the morning sometimes and you haven't quite got that buzz or the energy. You need a shot, and then throughout the day you might need just more shots to keep that energy up.",0
"And that gets me going. Yeah. </s> And the sugar in it helps too. </s> Yeah, the sugar gives me the boost, I suppose. I-it's fantastic. </s> So what I'm hearing is that your life, your work, your routines are-- Sometimes you're driving or you've got to keep awake, get up in the morning sometimes and you haven't quite got that buzz or the energy. You need a shot, and then throughout the day you might need just more shots to keep that energy up. </s> Hmm. If I give up sugar in my coffee, give up the milk, black coffees, right?","[-1, 0, -1, 0, -1]",seeker supporter seeker supporter seeker,Yeah.,5
"Yeah, the sugar gives me the boost, I suppose. I-it's fantastic. </s> So what I'm hearing is that your life, your work, your routines are-- Sometimes you're driving or you've got to keep awake, get up in the morning sometimes and you haven't quite got that buzz or the energy. You need a shot, and then throughout the day you might need just more shots to keep that energy up. </s> Hmm. If I give up sugar in my coffee, give up the milk, black coffees, right? </s> Yeah. </s> if I find some social form of exercise, like squash.","[-1, 0, -1, 5, -1]",seeker supporter seeker supporter seeker,And an activity which has got a starting to finish and it's something you do for a slot.,4
"Hmm. If I give up sugar in my coffee, give up the milk, black coffees, right? </s> Yeah. </s> if I find some social form of exercise, like squash. </s> And an activity which has got a starting to finish and it's something you do for a slot. </s> Yeah.","[-1, 5, -1, 4, -1]",seeker supporter seeker supporter seeker,And then there's maybe some social aspects to it as well.,0
"if I find some social form of exercise, like squash. </s> And an activity which has got a starting to finish and it's something you do for a slot. </s> Yeah. </s> And then there's maybe some social aspects to it as well. </s> Yeah, and then—","[-1, 4, -1, 0, -1]",seeker supporter seeker supporter seeker,You can see some benefits and some enjoyment that.,1
"Yeah. </s> And then there's maybe some social aspects to it as well. </s> Yeah, and then— </s> You can see some benefits and some enjoyment that. </s> And then, you know, give this, say, six months, I don't know what period it would be, then go back to the GP and say, ""Test me again.""","[-1, 0, -1, 1, -1]",seeker supporter seeker supporter seeker,That sounds like a great plan.,1
"Yeah, and then— </s> You can see some benefits and some enjoyment that. </s> And then, you know, give this, say, six months, I don't know what period it would be, then go back to the GP and say, ""Test me again."" </s> That sounds like a great plan. </s> And so maybe that would, uh—","[-1, 1, -1, 1, -1]",seeker supporter seeker supporter seeker,"Yeah, sounds like a good idea.",5
"And then, you know, give this, say, six months, I don't know what period it would be, then go back to the GP and say, ""Test me again."" </s> That sounds like a great plan. </s> And so maybe that would, uh— </s> Yeah, sounds like a good idea. </s> Maybe it's an idea. I mean—","[-1, 1, -1, 5, -1]",seeker supporter seeker supporter seeker,"I think anything you do, it has to be something you've decided. You know, just start where you want to start. You've mentioned some really good ideas about possibly getting a little bit more exercise into your life, doing something like squash or something of that nature. You've mentioned some really good ideas about reducing the amount of sugar you-you-you're-you're intaking during the day, and coffee is a good place to start. Having an apple for breakfast, I think you mentioned that, a bit of fruit.",1
"And so maybe that would, uh— </s> Yeah, sounds like a good idea. </s> Maybe it's an idea. I mean— </s> I think anything you do, it has to be something you've decided. You know, just start where you want to start. You've mentioned some really good ideas about possibly getting a little bit more exercise into your life, doing something like squash or something of that nature. You've mentioned some really good ideas about reducing the amount of sugar you-you-you're-you're intaking during the day, and coffee is a good place to start. Having an apple for breakfast, I think you mentioned that, a bit of fruit. </s> Yeah, like my wife used to. Yeah.","[-1, 5, -1, 1, -1]",seeker supporter seeker supporter seeker,"Those are some really good ideas and good starting points. So thinking about it like that, what-- Where are you now? What's your-- What-what-- Where-where is your thinking now?",3
